sat,JD,RA,DEC,sigma_RA,sigma_DEC,omc_RA,omc_DEC
J1,2442302.415332998,344.31995510354596,-8.265296944953024,0.16882075774357375,0.1221097467693571,-0.2668266274609716,-0.13300185594966704
J2,2442302.415332998,344.3408804252104,-8.253888112913828,0.17207529955531187,0.1261144370952202,-0.21224769442592664,0.18679349438748252
J3,2442302.415332998,344.26909754971274,-8.286910582664872,0.1685919846365714,0.1217973007814748,-0.044353046131724846,0.2139024057650537
J4,2442302.415332998,344.40547115165725,-8.231526865703124,0.16910369806051678,0.12254964607638671,-0.17404231535119305,0.047283458119599706
J1,2442302.4167218795,344.31983117661906,-8.265355342432946,0.085275598087229,0.0753599725571199,-0.06706029767114036,-0.09123276019088235
J2,2442302.4167218795,344.3408554123863,-8.253958566998737,0.09183347561726266,0.0821929615334397,-0.19447979864997894,-0.030841208760341687
J3,2442302.4167218795,344.2689602145312,-8.287013723126856,0.0842577576426925,0.07415543526887299,-0.0704839624055797,0.022596741570379667
J4,2442302.4167218795,344.4052521158232,-8.231635819457118,0.08533765125461858,0.0753871388387348,-0.06371971910435967,0.051049952950263294
J1,2442302.4181049736,344.3196650749663,-8.265319143036558,0.12197421736198363,0.12140710442079364,-0.017545958334817972,0.29108506828231906
J2,2442302.4181049736,344.3408117910447,-8.253848766267346,0.1255411945935741,0.12433638113664748,-0.2430087466514761,0.3644414167889065
J3,2442302.4181049736,344.26884285630484,-8.286916989681803,0.12056552004502778,0.11980273243582586,-0.025448781032270558,0.5148371452830458
J4,2442302.4181049736,344.4049939148397,-8.231626024171895,0.12111527711652485,0.1204194271953167,-0.057309986022381715,0.48231298003196404
J1,2442302.419488068,344.3194544527878,-8.265424056863848,0.09302950534083569,0.10181894037917016,-0.1266407042506825,0.16539528448942817
J2,2442302.419488068,344.3407613404751,-8.253916124709761,0.0981179958648067,0.10567137363265805,-0.3158681473008108,0.15795100977596402
J3,2442302.419488068,344.2686814667842,-8.28697355554014,0.09091500502528539,0.09989212805692202,-0.13727114806277987,0.49120004884607577
J4,2442302.419488068,344.4047165919685,-8.231792040915408,0.09185016776166947,0.10065054847846139,-0.1546588648616094,0.24465269614036375
J1,2442302.4208769496,344.31928142309675,-8.265409435169165,0.12754589342075334,0.1366410694414112,-0.1018082449599067,0.43403338735707053
J2,2442302.4208769496,344.34069147120965,-8.253807102969589,0.13181211684970498,0.13997073885313613,-0.42228378484395357,0.5864292467712757
J3,2442302.4208769496,344.2685721447259,-8.286969442699919,0.12706094042870109,0.13616067009542884,-0.06360782373706142,0.6860062788742926
J4,2442302.4208769496,344.40447547685034,-8.231842771196632,0.12789075205559874,0.1368638773057134,-0.08737373871847025,0.4580236894440967
J1,2442302.422260044,344.31908300195596,-8.265559361151789,0.14394190132283882,0.136847904184341,-0.1674354467501494,0.14629984367988494
J2,2442302.422260044,344.34063600535933,-8.253884628903487,0.14732787167333447,0.13977077128744264,-0.513011140554683,0.3073358549000174
J3,2442302.422260044,344.26841177586186,-8.287107070726,0.14381547201992337,0.13677513820432946,-0.17179413711967395,0.37054537597884807
J4,2442302.422260044,344.4042327661767,-8.231970652683968,0.14381172436993056,0.13674302033180175,-0.06140251609912404,0.3936503363939385
